Week,0,1,2,3,4,5,6,7
2010-12-27,-0.00911177969990418,0.29167044603767794,0.260924368250954,-0.09179795124139797,-0.15049227571997537,0.2831650785601148,-0.03368814081198378,0.4493302546245146
2011-01-03,0.27217575249963083,0.8067400501274964,0.1954168854152328,-0.25950538447188304,-0.3182265075659739,0.3019059772987331,0.10047981493943442,-0.09898658824267048
2011-01-10,0.05593902847371737,0.24855242169646044,0.2430516255095225,-0.05628920667425656,-0.12354669392999687,0.1952922732780151,-0.055481583787230025,0.49248213543376806
2011-01-18,0.04236781905678338,0.32291810216556616,0.10913613004476681,0.04634193027380774,-0.0554581700192961,0.1513064505605466,-0.2787036820814269,0.6620914199992523
2011-01-24,0.11835964429034279,0.2393187925972999,0.29449051327960446,-0.12292876510765026,-0.11034301791462545,0.15502166542607426,-0.005156622760689885,0.43123779018964425
2011-01-31,0.16555731698588635,0.35262498149319355,0.29042992402109385,0.014266217355388149,-0.12795555737311995,-0.2252918336049286,0.023543099750728276,0.5068258513717584
2011-02-07,0.05009770997002076,0.2335822945303976,0.3144414509273875,-0.15956498244719144,-0.08686645409142561,0.07970993585602722,0.10128019816775291,0.46731984708703106
2011-02-14,0.2829500245038433,0.27349838082348815,0.31432087377145485,0.02906133935594172,-0.16713366351374775,0.1395698420278853,-0.095743935729407,0.22347713876054148
2011-02-22,0.25081510050154704,0.16739695434076834,0.17539042048843637,-0.10876377053310796,-0.13675172719365897,0.15114734464197052,0.1546455447452847,0.34612013300875993
2011-02-28,0.14446478274134592,0.25070904881873596,0.10651871598243742,-0.06662330613544286,-0.20917980576482706,0.057861717029695385,0.3282826080936243,0.38796623923443085
2011-03-07,0.09017937895839323,0.28685435393264247,0.24580696164628318,-0.2923989804906279,-0.10254658029775886,0.1626225545850749,0.34175978464009893,0.26772252702589416
2011-03-14,-0.13456581248155705,0.46931629916107365,0.18449038508737375,-0.2143905954279611,0.02069777301483857,0.026670235720368744,0.028893123679976603,0.6188885912458869
