Date,PNQI,SPY,XLK,SPXL,TQQQ,XLY,XLF,SHY
2010-12-21,0.010207080556104753,0.006320281227687907,0.005958294385633778,0.019836531619273234,0.016350572325647184,0.004248541705382802,0.017225288363178493,-0.00023811197034895315
2010-12-22,-0.0033907613014565463,0.003105464075470188,-0.0011888524108254472,0.008862648733235723,0.001058550200173869,0.0013239571732253097,0.0113208395417983,-0.00023825956138256998
2010-12-23,-0.0068163192546482065,-0.0014320975249111356,-0.0003965984267546574,-0.004210468288525782,-0.0076333308595151195,-0.004242908598088402,-0.007532993001488464,-0.001311170278469831
2010-12-27,-0.0014259017473419178,0.0003980342481035848,0.001981421099594982,0.0008434648489454855,0.00039963979584123344,-0.002927496651469852,0.00878305438513527,0.0005962326895945225
2010-12-28,-0.004863462140046515,0.001431528022205697,-0.0011883814740429877,0.0025263749559829574,-0.004338624964585813,-0.002134521408938994,0.0,-0.0021479758475138055
2010-12-29,0.005434088606618204,0.000714965971990722,0.001979851930925758,0.004615015651754373,0.005935893345202947,0.003200075973045724,-0.001875641826715846,0.002386405790206325
2010-12-30,-0.003142428153551702,-0.0015895484886163658,-0.002376293129723095,-0.003634311033182902,-0.007542678779943968,-0.001865415383781599,-0.003133785978632453,-0.0003576662357422933
2010-12-31,-0.007467069115135061,0.00023858734078441302,-0.001190191744849134,0.0012595629519336349,-0.009221585185532621,-0.0021362312376180803,0.0012546931109813642,0.0011915419395229776
2011-01-03,0.013741973028779775,0.010284924806456708,0.01105415046667968,0.027996019170268838,0.0441812122621934,0.011692895288359928,0.021706286032506572,-0.00023823118095389617
2011-01-04,-0.0037031022266647007,-0.0005511136072904321,0.0039185153358061164,-0.00490801967516119,-0.0015540374488471898,-0.0055636410679400505,-0.001227735293494625,-0.0002381970575253689
2011-01-05,0.018660417960192355,0.005184176449207989,0.005849095304289786,0.015325465584075326,0.024515617499434317,0.00820222544377014,0.011603142590046467,-0.0017886074389332762
2011-01-06,0.0022383338072136105,-0.001960554297731676,0.005815155965877228,-0.0051275388926823595,0.009001392049779566,-0.006079033817964152,-0.006701147835176169,0.0010734937378895637
2011-01-07,-0.001398384740087355,-0.0019644056228544926,-0.0046494015286020485,-0.0048819841575553635,-0.0023212716922642596,-0.0005303754363952251,-0.008594343008890615,0.0014296255537775693
2011-01-10,0.0039106025432209535,-0.0012592165286218204,0.0007764153179614652,-0.002450036907548858,0.01118030892075983,-0.0007961415949071515,-0.002469113079991203,0.0004760880274332635
2011-01-11,0.005282994091877047,0.0035375764400233933,-0.001553433925101988,0.0111127789579748,0.004585729367003077,-0.0002654539188955418,0.0037014594710669257,-0.0005951681675542275
2011-01-12,0.004703236413380996,0.00898409633508912,0.00889924806643716,0.02738439697521544,0.020076586521523554,0.0023869565177503382,0.016488905815872812,0.0
2011-01-13,0.0033066697300645487,-0.001634611894314908,-0.0007706570925551937,-0.004336715306267447,0.003146158421039047,-0.0015907048524721468,-0.0030331044140718966,0.00035710708406089253
2011-01-14,0.011488145760443658,0.007218628320147857,0.00882751998088871,0.018270135509856456,0.021454793313500975,0.006083858256951569,0.01567247221298329,0.0
2011-01-18,0.005153914240161761,0.0017000329763003919,0.0011457204295020063,0.009011399294090783,0.00795035118013021,0.0028966607422291624,-0.00599883014276914,-0.00023802694393992851
2011-01-19,-0.019396840702037732,-0.00985385830538199,-0.007278351626553992,-0.03269582377349334,-0.03406746578554287,-0.010042295067848261,-0.022513875435346442,0.0004760880274332635
2011-01-20,-0.012491509205187157,-0.001326401066239491,-0.005397059621976119,-0.006376210838687557,-0.022711514171453562,0.0021225270697073917,0.0049109504270452575,-0.0010715396992857507
2011-01-21,-0.010671291436312735,0.0022615980751732323,-0.005815155965877228,0.006508569847273327,-0.023112229838881726,0.0023825333175460095,0.007929282938087034,0.00023825956138256998
2011-01-24,0.005911428936534957,0.005670664070208886,0.01389986146060096,0.016804896062059704,0.04046869294198996,0.003958351231710733,-0.0012157938205259455,-0.00011912268473857068
2011-01-25,-0.0011233057862365392,0.0005420069383612613,0.004590705753806379,0.0006508096680757358,0.0034718833483367018,0.0005266049884808943,-0.0018264667715559568,0.0007143417391484164
2011-01-26,0.0019649043465470584,0.0038633953715292435,0.005708849577523267,0.014338510621313194,0.015386283996417172,0.0015780528753848166,-0.0006095643392529659,-0.00023802694393992851
2011-01-27,0.016685550880911837,0.0024648192383738277,0.0034097457179358415,0.00830200215329402,0.019096780756014953,0.007853423768303447,0.008500343339695071,0.0007140016900422097
2011-01-28,-0.015004368854424133,-0.017617189274053757,-0.023341431028282233,-0.05329024992304898,-0.07842364104275878,-0.033137559540449946,-0.017688751773492495,0.0004757483019215414
2011-01-31,0.0064183152067762705,0.007488268048510882,0.006175235692809977,0.02176308431122198,0.014695516035890588,0.0021540620167836977,0.009188408433797424,-0.00011893854035083251
2011-02-01,0.023912062127322553,0.015882014747780282,0.016787900315901272,0.045797800525110066,0.054047419011348685,0.011764804979305321,0.020519742888752468,-0.00190448856411507
2011-02-02,0.00460648370397676,-0.0019140226299310115,0.001889973618894203,-0.005280423272588264,-0.004518182232061019,-0.0029282761340532204,-0.007796135820674177,-0.0005959484412754179
2011-02-03,0.005392219790033792,0.0022198752285182977,0.001509468797075808,0.007284681036621832,0.0038654951679131244,0.011662004598832265,0.0006018599334707275,-0.0009541293843415843
2011-02-04,0.006699743918982648,0.0028251469753373115,0.006389800847349303,0.007728794673393935,0.017882812642117996,0.006827713552950865,-0.0006018599334707275,-0.0008356675964913407
